customer_id,lifetime_value,days_since_purchase,total_orders,churn_risk_flag
10000,239.56622147254888,93,26,Active
10001,869.0046388519843,454,32,Active
10002,298.83726532609893,17,24,Active
10003,587.2887167273828,154,46,Active
10004,632.979038385438,405,35,Active
10005,163.5108796063246,328,37,Active
10006,2794.2457061889813,149,32,Mid Value At Risk
10007,1193.7963017105126,377,7,Mid Value At Risk
10008,2244.075535433266,267,33,Mid Value At Risk
10009,1801.7215980273572,422,31,Mid Value At Risk
10010,728.84352990662,328,12,Active
10011,2039.548303415524,106,11,Active
10012,74.1243671624925,472,24,Active
10013,174.50775570501395,381,8,Active
10014,37.025572549465565,35,32,Active
10015,314.82566944246946,119,38,Active
10016,393.7042334353749,14,22,Active
10017,253.24835456706057,14,34,Active
10018,1411.646292192747,266,19,Mid Value At Risk
10019,352.9815996238961,140,20,Active
10020,263.84227210739937,294,14,Active
10021,625.9256665661968,364,33,Active
10022,121.51851825650309,119,10,Active
10023,1296.386876619785,238,16,Mid Value At Risk
10024,61.980695049047206,34,4,Active
10025,3467.3170716698555,169,27,Mid Value At Risk
10026,1183.587020993209,10,28,Active
10027,177.23155240470876,122,43,Active
10028,4.42993630074838,401,16,Active
10029,1351.9174219889007,145,33,Mid Value At Risk
10030,981.6767259096357,451,48,Active
10031,1044.5303270303991,446,19,Mid Value At Risk
10032,1180.1716208348107,223,21,Mid Value At Risk
10033,61.54341241103708,371,22,Active
10034,355.114137932986,257,9,Active
10035,98.52008368355972,268,9,Active
10036,1590.823657326578,359,9,Mid Value At Risk
10037,781.0409533698993,4,27,Active
10038,321.4550410010408,426,17,Active
10039,52.53445264382631,397,44,Active
10040,297.99068032828296,354,45,Active
10041,314.6513705473051,106,8,Active
10042,1046.3006271661927,85,16,Active
10043,811.911487140816,214,18,Active
10044,1745.8015299212118,121,33,Mid Value At Risk
10045,511.25290670104783,132,1,Active
10046,101.89791489240152,338,12,Active
10047,999.3010754532795,197,6,Active
10048,1144.3142024614913,19,41,Active
10049,659.109995908663,130,5,Active
10050,1179.1119733770915,12,16,Active
10051,544.6517852082223,81,18,Active
10052,591.7430710218136,330,49,Active
10053,446.2513551267419,354,18,Active
10054,20.598219192090983,262,1,Active
10055,91.33394815349267,392,19,Active
10056,25.54694503444306,125,8,Active
10057,809.3836407420396,307,3,Active
10058,301.9173670360799,267,25,Active
10059,568.3497417073521,447,5,Active
10060,1905.0124238767803,441,40,Mid Value At Risk
10061,229.39105838663866,383,19,Active
10062,422.62557990613806,140,18,Active
10063,1126.9993180308668,329,31,Mid Value At Risk
10064,207.84412553391522,2,33,Active
10065,64.0834228401411,8,47,Active
10066,273.71224310964567,250,18,Active
10067,140.64668680005028,139,39,Active
10068,2123.9600687045,124,16,Mid Value At Risk
10069,1320.7096643876555,309,16,Mid Value At Risk
10070,802.7953524164249,228,47,Active
10071,1641.2157844166504,10,38,Active
10072,1302.3751525924451,469,41,Mid Value At Risk
10073,165.19638108691126,212,7,Active
10074,1784.6507241884487,112,14,Active
10075,620.0799215729376,8,43,Active
10076,1317.878633042853,292,48,Mid Value At Risk
10077,1811.394119428985,477,25,Mid Value At Risk
10078,306.1845731346548,362,32,Active
10079,93.27372809908067,460,38,Active
10080,206.9493969115051,253,22,Active
10081,445.6461541988915,14,16,Active
10082,1363.063781311156,240,29,Mid Value At Risk
10083,1577.0759775038666,438,16,Mid Value At Risk
10084,5.5811273453205175,242,12,Active
10085,571.9009274708446,469,17,Active
10086,432.21865673493704,342,37,Active
10087,200.9338706206596,149,27,Active
10088,102.14431323651745,236,25,Active
10089,329.52686388994596,306,13,Active
10090,2290.4968981529196,478,8,Mid Value At Risk
10091,312.3070423051795,167,5,Active
10092,585.1622446081216,20,12,Active
10093,971.2695815046839,216,41,Active
10094,361.5795991735699,343,3,Active
10095,2854.2385106333595,135,35,Mid Value At Risk
10096,2625.6078916331185,393,33,Mid Value At Risk
10097,232.04903599376422,129,22,Active
10098,550.1274227710778,410,44,Active
10099,286.3443680632374,422,9,Active
10100,268.1997411048654,294,41,Active
10101,30.067582212418024,246,18,Active
10102,752.3936567860745,189,29,Active
10103,558.8157062637108,44,39,Active
10104,42.28086990431398,86,27,Active
10105,261.3007368082955,44,36,Active
10106,1911.0887608714722,330,45,Mid Value At Risk
10107,219.08844171366164,375,17,Active
10108,125.2246887883758,446,34,Active
10109,537.817687578909,378,46,Active
10110,3395.2295860922077,390,3,Mid Value At Risk
10111,221.71585084778096,145,5,Active
10112,892.1240082378347,51,14,Active
10113,1147.1101009915703,242,3,Mid Value At Risk
10114,217.06653786864462,294,23,Active
10115,1042.1991427938528,408,39,Mid Value At Risk
10116,366.8182394114432,51,30,Active
10117,800.402998185417,266,45,Active
10118,803.0702617101106,120,23,Active
10119,613.9081999618791,200,27,Active
10120,75.70332704929676,405,10,Active
10121,1442.9158353970377,248,25,Mid Value At Risk
10122,309.44823493391726,70,13,Active
10123,165.14568528604522,341,16,Active
10124,33.303807835476164,57,41,Active
10125,715.0227236756667,382,34,Active
10126,905.4813874138791,39,37,Active
10127,13.381558046776496,472,22,Active
10128,574.1044676395907,289,17,Active
10129,205.45931764396613,443,23,Active
10130,828.8994732381535,18,36,Active
10131,153.283378031307,440,49,Active
10132,939.3700220541753,220,9,Active
10133,391.16696078488144,313,2,Active
10134,2208.2750542434455,244,32,Mid Value At Risk
10135,118.35553075142316,352,22,Active
10136,333.7059471961374,460,43,Active
10137,96.35542802959714,304,13,Active
10138,2068.952317720579,298,8,Mid Value At Risk
10139,1678.6669657287953,283,1,Mid Value At Risk
10140,238.6618960491911,74,17,Active
10141,863.0101912351316,110,12,Active
10142,1359.587258111377,180,4,Mid Value At Risk
10143,648.1058885492065,426,13,Active
10144,603.4235281551569,32,31,Active
10145,221.5016363503225,234,41,Active
10146,78.18091237995259,282,7,Active
10147,1820.0985801556183,25,23,Active
10148,1845.4195421187414,331,24,Mid Value At Risk
10149,802.1359355863078,279,5,Active
10150,331.23720784905913,226,5,Active
10151,343.65409264931515,57,17,Active
10152,1035.5723437816944,180,30,Mid Value At Risk
10153,1819.2778792858019,232,9,Mid Value At Risk
10154,1744.9060555172905,382,6,Mid Value At Risk
10155,1210.8497535447225,343,25,Mid Value At Risk
10156,821.848554854164,477,19,Active
10157,70.31338095686725,287,16,Active
10158,141.0353717467292,64,21,Active
10159,1830.5844001420046,455,2,Mid Value At Risk
10160,745.9951575724716,232,10,Active
10161,7.391684488795527,289,16,Active
10162,85.59752114875945,213,37,Active
10163,871.3299098321928,258,15,Active
10164,4.059549641437602,18,13,Active
10165,140.25265288335925,175,13,Active
10166,636.5582769111453,417,32,Active
10167,941.8522293238501,229,45,Active
10168,844.3531857081989,226,47,Active
10169,203.1598938464196,84,46,Active
10170,996.3338311188311,291,8,Active
10171,216.65900724224474,435,43,Active
10172,314.90792713446757,370,18,Active
10173,1097.8860413326324,246,36,Mid Value At Risk
10174,839.0190514422145,402,26,Active
10175,1513.5648619707208,110,10,Active
10176,857.45063053581,254,31,Active
10177,672.035444469806,88,33,Active
10178,78.68564915872838,72,29,Active
10179,366.73304576561605,381,5,Active
10180,246.52811828706493,30,13,Active
10181,223.76016292993702,172,1,Active
10182,2889.8475249303406,309,23,Mid Value At Risk
10183,399.509997632019,394,40,Active
10184,1780.8441689988183,343,3,Mid Value At Risk
10185,797.8675085891865,436,3,Active
10186,1267.0602021507198,177,7,Mid Value At Risk
10187,558.7482595110164,139,36,Active
10188,688.124722113268,194,35,Active
10189,542.6347466733548,186,15,Active
10190,173.7719162601908,218,40,Active
10191,1025.4094424526431,164,3,Mid Value At Risk
10192,263.66189469301037,161,29,Active
10193,19.69318486455089,431,30,Active
10194,829.5750290362191,13,39,Active
10195,155.94685617985814,296,18,Active
10196,2256.8665178186425,89,11,Active
10197,2462.049930230419,324,43,Mid Value At Risk
10198,1970.8079077070731,42,49,Active
10199,369.8299171978934,403,38,Active
10200,12.461852297555506,210,40,Active
10201,2108.418765865512,229,1,Mid Value At Risk
10202,447.15062164244904,350,29,Active
10203,2720.673612897645,275,10,Mid Value At Risk
10204,2650.9883809041644,442,28,Mid Value At Risk
10205,1533.9096137435351,279,31,Mid Value At Risk
10206,279.0208545377282,251,19,Active
10207,389.03354567895485,310,3,Active
10208,1523.7813219824639,208,36,Mid Value At Risk
10209,304.9169851445737,321,43,Active
10210,148.57489303660384,140,15,Active
10211,650.9895936481822,280,33,Active
10212,2201.0347766456334,34,41,Active
10213,952.6604782063497,309,43,Active
10214,675.2898691485244,392,45,Active
10215,81.78255787945831,18,26,Active
10216,763.6245724141742,57,16,Active
10217,3688.455798277054,112,36,Active
10218,120.73646931381133,5,33,Active
10219,584.396259985203,410,20,Active
10220,1678.8869103206355,414,13,Mid Value At Risk
10221,1080.027398682936,182,33,Mid Value At Risk
10222,955.2595402413384,13,5,Active
10223,969.8300449795919,339,37,Active
10224,356.3938738519593,285,14,Active
10225,278.04966741367616,259,27,Active
10226,1325.8996058077698,90,23,Active
10227,1329.062559269623,104,14,Active
10228,1614.360037894332,379,40,Mid Value At Risk
10229,1955.692769469309,186,4,Mid Value At Risk
10230,572.874589546323,250,39,Active
10231,556.9475020409594,255,19,Active
10232,1280.75994584679,76,47,Active
10233,839.7752599102402,386,4,Active
10234,968.4405188092136,459,30,Active
10235,1270.8955799633638,108,19,Active
10236,1765.8587810774136,156,31,Mid Value At Risk
10237,329.98592571012335,82,31,Active
10238,376.74943098204506,77,9,Active
10239,78.95683134988845,485,13,Active
10240,690.7312212875478,470,14,Active
10241,29.2832833686856,460,46,Active
10242,501.2855585456877,258,10,Active
10243,625.8356685497008,127,48,Active
10244,270.104528251618,485,31,Active
10245,714.9060241169402,391,37,Active
10246,24.780049681179637,282,23,Active
10247,30.450799426231505,474,27,Active
10248,1383.4810956305087,88,6,Active
10249,357.26801936619574,204,26,Active
10250,108.71123303794239,16,2,Active
10251,590.9228706232125,151,45,Active
10252,1175.7183523565882,424,13,Mid Value At Risk
10253,194.49440274392268,254,19,Active
10254,780.1756949251943,188,1,Active
10255,71.36882319191783,329,40,Active
10256,42.452076728247526,32,32,Active
10257,606.3271525004168,271,22,Active
10258,622.3283541557937,485,48,Active
10259,811.6299585636928,397,29,Active
10260,1035.9684503333474,5,2,Active
10261,2978.8456069599943,459,40,Mid Value At Risk
10262,581.032895384285,330,38,Active
10263,312.01577128478306,308,48,Active
10264,1268.523183786149,333,11,Mid Value At Risk
10265,252.68117234890983,169,17,Active
10266,462.3867450186411,181,43,Active
10267,65.36413486693591,366,8,Active
10268,20.542087633179502,178,22,Active
10269,2629.9039386148816,143,4,Mid Value At Risk
10270,1446.21411369205,362,11,Mid Value At Risk
10271,952.5141862394732,248,8,Active
10272,420.6877155721135,127,9,Active
10273,152.245228913687,263,26,Active
10274,136.09659325828332,40,2,Active
10275,230.40479130126687,412,16,Active
10276,637.4325186506517,416,31,Active
10277,1003.0794302214206,355,6,Mid Value At Risk
10278,863.5122797574388,255,21,Active
10279,262.72980911119674,143,26,Active
10280,2478.482798845045,240,19,Mid Value At Risk
10281,1071.213923900181,228,28,Mid Value At Risk
10282,646.5843855450651,341,8,Active
10283,756.824377629948,198,14,Active
10284,435.2302924256411,65,24,Active
10285,227.72903381925082,388,48,Active
10286,352.0113034584899,11,44,Active
10287,1134.5454782053705,108,37,Active
10288,11.59846377664342,26,26,Active
10289,98.70431379198084,445,31,Active
10290,37.67550156201642,421,32,Active
10291,33.26516153383394,151,41,Active
10292,1547.3624268925269,221,2,Mid Value At Risk
10293,972.9924893605506,341,25,Active
10294,514.227675530314,496,44,Active
10295,82.3655347582506,237,2,Active
10296,541.2143726377866,237,42,Active
10297,513.1602656754969,497,1,Active
10298,152.15577024017998,219,36,Active
10299,455.1193050418591,487,12,Active
10300,406.6692916665655,424,9,Active
10301,765.3779463305076,461,36,Active
10302,806.4916288327297,151,41,Active
10303,37.08985921642778,123,28,Active
10304,375.50720372404925,144,38,Active
10305,786.4999958261828,478,33,Active
10306,559.5515620862318,189,42,Active
10307,1553.079562540351,255,46,Mid Value At Risk
10308,859.9798112439983,68,22,Active
10309,142.28229501384587,104,25,Active
10310,58.54594900499267,336,18,Active
10311,822.7153176871129,159,6,Active
10312,21.49525813391554,309,18,Active
10313,705.0779022458325,362,16,Active
10314,2253.8043643097217,409,15,Mid Value At Risk
10315,685.4259564620355,300,48,Active
10316,393.0405537791258,396,8,Active
10317,824.6617262759855,90,13,Active
10318,490.364779240873,357,43,Active
10319,631.0514884610561,256,7,Active
10320,2270.5017169863995,496,17,Mid Value At Risk
10321,390.34202188014973,353,32,Active
10322,2599.273489205403,220,22,Mid Value At Risk
10323,1886.0609470159354,9,13,Active
10324,174.31700875236,12,47,Active
10325,57.50732424252561,325,23,Active
10326,84.98026838530417,438,29,Active
10327,14.711910277786963,244,22,Active
10328,79.36400932460332,182,1,Active
10329,919.0998980617337,284,29,Active
10330,59.07970155714162,312,48,Active
10331,307.3257506358948,99,5,Active
10332,1490.8208320778217,197,35,Mid Value At Risk
10333,18.837602544569208,482,10,Active
10334,1347.6244049487668,366,19,Mid Value At Risk
10335,264.8667734717036,226,37,Active
10336,100.60009586328611,333,7,Active
10337,954.5243267519307,103,46,Active
10338,793.1193411465762,106,35,Active
10339,1679.5326512695574,365,45,Mid Value At Risk
10340,1062.6348630115203,368,13,Mid Value At Risk
10341,1301.5966447951826,58,10,Active
10342,265.06708984539085,78,2,Active
10343,156.26663683235756,75,6,Active
10344,1111.0051168043399,42,8,Active
10345,1315.3673465947356,422,36,Mid Value At Risk
10346,3725.6039121121844,324,25,Mid Value At Risk
10347,425.663483322084,181,44,Active
10348,372.19512956938615,33,47,Active
10349,1198.3636026748695,71,40,Active
10350,333.3869367446025,56,7,Active
10351,2136.110339519461,105,46,Active
10352,1563.8713257329994,200,23,Mid Value At Risk
10353,448.28448755372773,101,19,Active
10354,1111.827773196369,256,46,Mid Value At Risk
10355,1123.7063894840137,307,22,Mid Value At Risk
10356,87.07001504537442,74,13,Active
10357,1862.7565446941055,171,21,Mid Value At Risk
10358,562.9659918054035,377,1,Active
10359,1401.066046018664,143,19,Mid Value At Risk
10360,308.58834093160664,166,33,Active
10361,1807.032411636741,399,4,Mid Value At Risk
10362,394.390763248137,261,42,Active
10363,8.717445292140383,221,3,Active
10364,1886.325837569963,83,27,Active
