customer_id,last_order_date,days_since_purchase,lifetime_value,total_orders,churn_risk_flag
13694,2011-12-06 09:31:00,5299,62131.42,94,High Value At Risk
18102,2011-09-22 11:28:00,5374,55413.09,38,High Value At Risk
14646,2011-12-07 15:16:00,5298,47859.06,91,High Value At Risk
14911,2011-12-08 15:54:00,5297,47030.80,340,High Value At Risk
15769,2011-12-02 13:52:00,5303,37963.22,35,High Value At Risk
14156,2011-11-30 10:54:00,5305,35209.70,108,High Value At Risk
16029,2011-11-01 10:27:00,5334,29366.55,53,High Value At Risk
13777,2011-12-01 11:18:00,5304,25173.16,42,High Value At Risk
16684,2011-11-03 09:28:00,5332,24159.84,28,High Value At Risk
17511,2011-12-07 10:12:00,5298,22690.08,50,High Value At Risk
15311,2011-12-06 12:59:00,5299,22407.77,174,High Value At Risk
13798,2011-12-08 15:51:00,5297,20682.98,77,High Value At Risk
14298,2011-12-01 13:12:00,5304,17900.79,57,High Value At Risk
14063,2010-09-27 16:18:00,5734,17884.52,6,High Value At Risk
14096,2011-12-05 17:17:00,5300,16773.03,17,High Value At Risk
17850,2010-12-02 15:26:00,5668,16493.72,118,High Value At Risk
17450,2011-11-21 14:21:00,5314,15866.68,15,High Value At Risk
15749,2011-04-18 13:20:00,5531,15598.50,3,High Value At Risk
14680,2011-11-14 16:59:00,5321,15339.89,52,High Value At Risk
15838,2011-11-14 12:58:00,5321,15054.30,19,High Value At Risk
12557,2011-11-23 16:59:00,5312,14970.96,6,High Value At Risk
16422,2011-11-08 09:03:00,5327,14658.15,58,High Value At Risk
12980,2011-07-05 09:34:00,5453,14131.14,21,High Value At Risk
16013,2011-08-22 13:20:00,5405,13994.55,24,High Value At Risk
15760,2010-03-19 11:45:00,5926,13916.34,2,High Value At Risk
16754,2010-06-30 08:36:00,5823,13660.01,7,High Value At Risk
12744,2011-10-19 11:18:00,5347,13175.07,9,High Value At Risk
18008,2011-03-21 15:07:00,5559,12442.75,10,High Value At Risk
13089,2011-12-05 14:30:00,5300,11294.82,97,High Value At Risk
12748,2011-12-09 12:20:00,5296,11072.05,207,High Value At Risk
17949,2011-09-01 11:56:00,5395,11030.76,12,High Value At Risk
17841,2011-12-08 12:07:00,5297,11002.30,202,High Value At Risk
12918,2010-03-23 15:22:00,5922,10953.50,1,High Value At Risk
14258,2011-11-30 15:27:00,5305,9625.94,21,High Value At Risk
13629,2011-11-16 13:21:00,5319,9411.00,18,High Value At Risk
12536,2011-10-27 14:20:00,5339,8523.29,3,High Value At Risk
14088,2011-11-23 15:44:00,5312,7541.36,8,High Value At Risk
16656,2011-09-21 09:54:00,5375,7355.76,19,High Value At Risk
13081,2011-11-28 10:54:00,5307,7351.09,23,High Value At Risk
12647,2011-11-17 12:56:00,5318,7247.19,34,High Value At Risk
14031,2011-12-02 17:13:00,5303,7139.96,35,High Value At Risk
12939,2011-10-06 14:33:00,5360,7045.94,16,High Value At Risk
15856,2011-12-05 17:09:00,5300,6881.40,47,High Value At Risk
15061,2011-11-29 10:52:00,5306,6700.33,43,High Value At Risk
14145,2011-10-24 12:10:00,5342,6696.30,7,High Value At Risk
17389,2011-12-06 16:33:00,5299,6687.82,33,High Value At Risk
13734,2010-07-19 12:04:00,5804,6585.45,4,High Value At Risk
13802,2011-07-24 10:54:00,5434,6424.68,18,High Value At Risk
15039,2011-11-30 11:31:00,5305,6404.13,80,High Value At Risk
17677,2011-10-14 12:33:00,5352,6260.30,25,High Value At Risk
17133,2011-06-02 14:46:00,5486,6202.85,7,High Value At Risk
15202,2010-10-15 13:05:00,5716,6001.49,3,High Value At Risk
12664,2011-12-01 17:07:00,5304,5984.54,11,High Value At Risk
14062,2011-08-19 11:56:00,5408,5781.45,15,High Value At Risk
15523,2011-09-16 16:29:00,5380,5400.88,15,High Value At Risk
17243,2011-12-08 13:26:00,5297,5338.90,63,High Value At Risk
12415,2011-11-15 10:32:00,5320,5206.94,14,High Value At Risk
12921,2011-11-30 16:21:00,5305,5194.85,50,High Value At Risk
14051,2011-12-09 10:20:00,5296,5174.01,25,High Value At Risk
13767,2011-10-10 09:56:00,5356,5090.65,43,High Value At Risk
12682,2011-12-06 10:00:00,5299,4943.31,51,Mid Value At Risk
12678,2011-10-28 07:39:00,5338,4933.00,17,Mid Value At Risk
14607,2011-11-24 10:35:00,5311,4930.50,11,Mid Value At Risk
15502,2011-10-03 16:51:00,5363,4908.85,7,Mid Value At Risk
17858,2011-12-04 11:56:00,5301,4886.09,22,Mid Value At Risk
12471,2011-12-07 15:43:00,5298,4828.79,48,Mid Value At Risk
13408,2011-11-16 13:13:00,5319,4755.76,35,Mid Value At Risk
16779,2011-12-07 14:54:00,5298,4721.93,45,Mid Value At Risk
13078,2011-11-07 09:28:00,5328,4707.10,43,Mid Value At Risk
15032,2011-03-28 15:03:00,5552,4705.85,7,Mid Value At Risk
16525,2011-11-02 14:08:00,5333,4666.97,33,Mid Value At Risk
17920,2011-12-05 14:29:00,5300,4657.78,44,Mid Value At Risk
13902,2010-03-17 13:09:00,5928,4652.80,4,Mid Value At Risk
13680,2011-12-08 13:47:00,5297,4648.77,12,Mid Value At Risk
13340,2011-03-08 11:39:00,5572,4563.00,4,Mid Value At Risk
14277,2011-11-24 15:01:00,5311,4557.46,9,Mid Value At Risk
16705,2011-11-28 11:42:00,5307,4502.86,17,Mid Value At Risk
