customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment,churn_risk
12346.0,326,12,77556.46,2,5,5,At Risk,High Value At Risk
12378.0,130,2,5416.32,3,2,5,Potential Loyalists,High Value At Risk
12422.0,96,17,5231.8,3,5,5,Loyal Customers,High Value At Risk
12482.0,576,29,23691.4,1,5,5,Cannot Lose Them,High Value At Risk
12510.0,143,9,5178.02,3,5,5,Loyal Customers,High Value At Risk
12590.0,211,2,9864.26,2,2,5,Hibernating,High Value At Risk
12625.0,212,4,5164.88,2,3,5,At Risk,High Value At Risk
12643.0,128,12,8350.42,3,5,5,Loyal Customers,High Value At Risk
12755.0,281,11,9030.66,2,5,5,At Risk,High Value At Risk
12758.0,117,7,9903.24,3,4,5,Loyal Customers,High Value At Risk
12835.0,428,41,6043.31,1,5,5,Cannot Lose Them,High Value At Risk
12918.0,626,1,10953.5,1,1,5,Hibernating,High Value At Risk
12980.0,158,21,16245.78,3,5,5,Loyal Customers,High Value At Risk
13027.0,114,19,17335.2,3,5,5,Loyal Customers,High Value At Risk
13082.0,126,21,7335.75,3,5,5,Loyal Customers,High Value At Risk
13093.0,276,55,54943.65,2,5,5,At Risk,High Value At Risk
13162.0,122,16,9275.49,3,5,5,Loyal Customers,High Value At Risk
13206.0,400,13,8377.32,2,5,5,At Risk,High Value At Risk
13564.0,144,37,17249.55,3,5,5,Loyal Customers,High Value At Risk
13593.0,108,14,5523.6900000000005,3,5,5,Loyal Customers,High Value At Risk
13615.0,319,8,6272.53,2,4,5,At Risk,High Value At Risk
13687.0,438,1,11880.84,1,1,5,Hibernating,High Value At Risk
13715.0,281,17,8483.29,2,5,5,At Risk,High Value At Risk
13722.0,132,10,5635.41,3,5,5,Loyal Customers,High Value At Risk
13734.0,509,4,6701.640000000001,1,3,5,Cannot Lose Them,High Value At Risk
13802.0,139,19,26259.11,3,5,5,Loyal Customers,High Value At Risk
13869.0,123,10,8111.57,3,5,5,Loyal Customers,High Value At Risk
13902.0,632,5,34095.26,1,4,5,Cannot Lose Them,High Value At Risk
13931.0,96,11,5257.38,3,5,5,Loyal Customers,High Value At Risk
13935.0,597,3,6116.92,1,3,5,Cannot Lose Them,High Value At Risk
13952.0,218,14,12823.521,2,5,5,At Risk,High Value At Risk
