cohort_month,cohort_size,month_number,retained,retention_rate
2009-12-01 00:00:00,854,0,854,100.0
2009-12-01 00:00:00,854,1,304,35.6
2009-12-01 00:00:00,854,2,273,32.0
2009-12-01 00:00:00,854,3,340,39.8
2009-12-01 00:00:00,854,4,300,35.1
2009-12-01 00:00:00,854,5,289,33.8
2009-12-01 00:00:00,854,6,308,36.1
2009-12-01 00:00:00,854,7,263,30.8
2009-12-01 00:00:00,854,8,263,30.8
2009-12-01 00:00:00,854,9,273,32.0
2009-12-01 00:00:00,854,10,317,37.1
2009-12-01 00:00:00,854,11,366,42.9
2009-12-01 00:00:00,854,12,270,31.6
2009-12-01 00:00:00,854,13,207,24.2
2009-12-01 00:00:00,854,14,176,20.6
2009-12-01 00:00:00,854,15,204,23.9
2009-12-01 00:00:00,854,16,172,20.1
2009-12-01 00:00:00,854,17,200,23.4
2009-12-01 00:00:00,854,18,198,23.2
2009-12-01 00:00:00,854,19,199,23.3
2009-12-01 00:00:00,854,20,180,21.1
2009-12-01 00:00:00,854,21,210,24.6
2009-12-01 00:00:00,854,22,200,23.4
2009-12-01 00:00:00,854,23,265,31.0
2009-12-01 00:00:00,854,24,119,13.9
2010-01-01 00:00:00,372,0,372,100.0
2010-01-01 00:00:00,372,1,70,18.8
2010-01-01 00:00:00,372,2,99,26.6
2010-01-01 00:00:00,372,3,85,22.8
2010-01-01 00:00:00,372,4,100,26.9
2010-01-01 00:00:00,372,5,87,23.4
2010-01-01 00:00:00,372,6,83,22.3
2010-01-01 00:00:00,372,7,75,20.2
2010-01-01 00:00:00,372,8,85,22.8
2010-01-01 00:00:00,372,9,101,27.2
2010-01-01 00:00:00,372,10,86,23.1
2010-01-01 00:00:00,372,11,49,13.2
2010-01-01 00:00:00,372,12,62,16.7
2010-01-01 00:00:00,372,13,52,14.0
2010-01-01 00:00:00,372,14,60,16.1
2010-01-01 00:00:00,372,15,40,10.8
2010-01-01 00:00:00,372,16,62,16.7
2010-01-01 00:00:00,372,17,46,12.4
2010-01-01 00:00:00,372,18,56,15.1
2010-01-01 00:00:00,372,19,56,15.1
2010-01-01 00:00:00,372,20,59,15.9
2010-01-01 00:00:00,372,21,47,12.6
2010-01-01 00:00:00,372,22,62,16.7
2010-01-01 00:00:00,372,23,13,3.5
2010-02-01 00:00:00,344,0,344,100.0
2010-02-01 00:00:00,344,1,82,23.8
2010-02-01 00:00:00,344,2,62,18.0
2010-02-01 00:00:00,344,3,86,25.0
2010-02-01 00:00:00,344,4,72,20.9
2010-02-01 00:00:00,344,5,68,19.8
2010-02-01 00:00:00,344,6,60,17.4
2010-02-01 00:00:00,344,7,89,25.9
2010-02-01 00:00:00,344,8,75,21.8
2010-02-01 00:00:00,344,9,81,23.5
2010-02-01 00:00:00,344,10,28,8.1
2010-02-01 00:00:00,344,11,29,8.4
2010-02-01 00:00:00,344,12,40,11.6
2010-02-01 00:00:00,344,13,50,14.5
2010-02-01 00:00:00,344,14,32,9.3
2010-02-01 00:00:00,344,15,48,14.0
2010-02-01 00:00:00,344,16,39,11.3
2010-02-01 00:00:00,344,17,40,11.6
2010-02-01 00:00:00,344,18,39,11.3
2010-02-01 00:00:00,344,19,47,13.7
2010-02-01 00:00:00,344,20,54,15.7
2010-02-01 00:00:00,344,21,40,11.6
2010-02-01 00:00:00,344,22,14,4.1
2010-03-01 00:00:00,384,0,384,100.0
2010-03-01 00:00:00,384,1,69,18.0
2010-03-01 00:00:00,384,2,84,21.9
2010-03-01 00:00:00,384,3,82,21.4
2010-03-01 00:00:00,384,4,79,20.6
2010-03-01 00:00:00,384,5,58,15.1
2010-03-01 00:00:00,384,6,76,19.8
2010-03-01 00:00:00,384,7,97,25.3
2010-03-01 00:00:00,384,8,87,22.7
2010-03-01 00:00:00,384,9,36,9.4
2010-03-01 00:00:00,384,10,37,9.6
2010-03-01 00:00:00,384,11,38,9.9
2010-03-01 00:00:00,384,12,63,16.4
2010-03-01 00:00:00,384,13,46,12.0
2010-03-01 00:00:00,384,14,55,14.3
2010-03-01 00:00:00,384,15,51,13.3
2010-03-01 00:00:00,384,16,43,11.2
2010-03-01 00:00:00,384,17,47,12.2
2010-03-01 00:00:00,384,18,46,12.0
2010-03-01 00:00:00,384,19,58,15.1
2010-03-01 00:00:00,384,20,55,14.3
2010-03-01 00:00:00,384,21,21,5.5
2010-04-01 00:00:00,240,0,240,100.0
2010-04-01 00:00:00,240,1,43,17.9
2010-04-01 00:00:00,240,2,36,15.0
2010-04-01 00:00:00,240,3,34,14.2
2010-04-01 00:00:00,240,4,31,12.9
2010-04-01 00:00:00,240,5,54,22.5
2010-04-01 00:00:00,240,6,54,22.5
2010-04-01 00:00:00,240,7,47,19.6
2010-04-01 00:00:00,240,8,18,7.5
2010-04-01 00:00:00,240,9,24,10.0
2010-04-01 00:00:00,240,10,18,7.5
2010-04-01 00:00:00,240,11,25,10.4
2010-04-01 00:00:00,240,12,26,10.8
2010-04-01 00:00:00,240,13,26,10.8
2010-04-01 00:00:00,240,14,28,11.7
2010-04-01 00:00:00,240,15,24,10.0
2010-04-01 00:00:00,240,16,23,9.6
2010-04-01 00:00:00,240,17,26,10.8
2010-04-01 00:00:00,240,18,34,14.2
2010-04-01 00:00:00,240,19,39,16.3
2010-04-01 00:00:00,240,20,14,5.8
2010-05-01 00:00:00,233,0,233,100.0
2010-05-01 00:00:00,233,1,33,14.2
2010-05-01 00:00:00,233,2,32,13.7
2010-05-01 00:00:00,233,3,40,17.2
2010-05-01 00:00:00,233,4,26,11.2
2010-05-01 00:00:00,233,5,50,21.5
2010-05-01 00:00:00,233,6,37,15.9
2010-05-01 00:00:00,233,7,19,8.2
2010-05-01 00:00:00,233,8,11,4.7
2010-05-01 00:00:00,233,9,17,7.3
2010-05-01 00:00:00,233,10,15,6.4
2010-05-01 00:00:00,233,11,23,9.9
2010-05-01 00:00:00,233,12,23,9.9
2010-05-01 00:00:00,233,13,21,9.0
2010-05-01 00:00:00,233,14,21,9.0
2010-05-01 00:00:00,233,15,22,9.4
2010-05-01 00:00:00,233,16,26,11.2
2010-05-01 00:00:00,233,17,25,10.7
2010-05-01 00:00:00,233,18,19,8.2
2010-05-01 00:00:00,233,19,6,2.6
2010-06-01 00:00:00,223,0,223,100.0
2010-06-01 00:00:00,223,1,31,13.9
2010-06-01 00:00:00,223,2,36,16.1
2010-06-01 00:00:00,223,3,40,17.9
2010-06-01 00:00:00,223,4,39,17.5
2010-06-01 00:00:00,223,5,50,22.4
2010-06-01 00:00:00,223,6,21,9.4
2010-06-01 00:00:00,223,7,12,5.4
2010-06-01 00:00:00,223,8,12,5.4
2010-06-01 00:00:00,223,9,15,6.7
2010-06-01 00:00:00,223,10,14,6.3
2010-06-01 00:00:00,223,11,20,9.0
2010-06-01 00:00:00,223,12,29,13.0
2010-06-01 00:00:00,223,13,17,7.6
2010-06-01 00:00:00,223,14,20,9.0
2010-06-01 00:00:00,223,15,16,7.2
2010-06-01 00:00:00,223,16,24,10.8
2010-06-01 00:00:00,223,17,31,13.9
2010-06-01 00:00:00,223,18,3,1.3
2010-07-01 00:00:00,161,0,161,100.0
2010-07-01 00:00:00,161,1,31,19.3
2010-07-01 00:00:00,161,2,31,19.3
2010-07-01 00:00:00,161,3,36,22.4
2010-07-01 00:00:00,161,4,39,24.2
2010-07-01 00:00:00,161,5,18,11.2
2010-07-01 00:00:00,161,6,17,10.6
2010-07-01 00:00:00,161,7,16,9.9
2010-07-01 00:00:00,161,8,23,14.3
2010-07-01 00:00:00,161,9,15,9.3
2010-07-01 00:00:00,161,10,18,11.2
2010-07-01 00:00:00,161,11,17,10.6
2010-07-01 00:00:00,161,12,14,8.7
2010-07-01 00:00:00,161,13,12,7.5
2010-07-01 00:00:00,161,14,27,16.8
2010-07-01 00:00:00,161,15,20,12.4
2010-07-01 00:00:00,161,16,29,18.0
